"type_1_npi","life_science_firm_name","product_name","nature_of_payment","year","amount"
"1154471712","ABBVIE, INC.","RESTASIS MULTIDOSE","Food and Beverage","2022","28.92"
"1245780782","CRANIAL TECHNOLOGIES, INC","DOC BAND","Food and Beverage","2018","19.11"
"1700826153","PURDUE PHARMA L.P.","","Food and Beverage","2017","14.63"
"1871593525","MEDTRONIC, INC.","AZURE","Food and Beverage","2019","16.38"
"1629118484","GLAXOSMITHKLINE, LLC.","SHINGRIX","Food and Beverage","2022","38.64"
"1154700862","SMITH & NEPHEW, INC.","JOURNEY II UNI","Food and Beverage","2017","117.38"
"1841294261","ASTRAZENECA PHARMACEUTICALS LP","","Food and Beverage","2023","25.6"
"1407803166","ABBOTT LABORATORIES","PROCLAIM FAMILY OF SCS IPGS","Food and Beverage","2018","339.22"
"1952404097","PUMA BIOTECHNOLOGY, INC.","NERLYNX","Food and Beverage","2018","14.63"
"1679669550","GILEAD SCIENCES, INC.","","Food and Beverage","2022","35"
"1780645861","GILEAD SCIENCES, INC.","","Food and Beverage","2017","25.31"
"1184695090","ABBOTT LABORATORIES","DEEP BRAIN STIMULATION","Food and Beverage","2017","42.73"
"1629022975","ENDO PHARMACEUTICALS INC.","AVEED","Food and Beverage","2023","50.9"
"1689615007","BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.","OFEV","Food and Beverage","2021","16.14"
"1801993514","AMGEN INC.","","Education","2017","17.24"
"1447664859","SUN PHARMACEUTICAL INDUSTRIES INC.","ILUMYA","Food and Beverage","2021","11.99"
"1861518177","AMGEN INC.","CORLANOR","Food and Beverage","2016","92.409996"
"1447342043","ASSERTIO THERAPEUTICS, INC.","GRALISE","Food and Beverage","2018","14.71"
"1124281167","JANSSEN PHARMACEUTICALS, INC","IMBRUVICA","Food and Beverage","2018","46.86"
"1497754659","PFIZER INC.","ELIQUIS","Food and Beverage","2023","15.92"
"1225357577","PFIZER INC.","QUILLICHEW ER","Food and Beverage","2017","36.02"
"1801902309","NESTLE HEALTHCARE NUTRITION INC.","ZENPEP","Food and Beverage","2022","15.46"
"1467807602","EMD SERONO, INC.","MAVENCLAD","Food and Beverage","2019","112.82"
"1821045766","NOVO NORDISK INC","","Food and Beverage","2022","20.49"
"1225010739","MEDTRONIC, INC.","VENASEAL","Food and Beverage","2021","18.17"
"1831103423","SEATTLE GENETICS, INC.","ADCETRIS","Food and Beverage","2018","183.61"
"1720309057","GLAXOSMITHKLINE, LLC.","BREO","Food and Beverage","2017","16.57"
"1023227584","SHIRE NORTH AMERICAN GROUP INC","MYDAYIS","Food and Beverage","2017","45.95"
"1750686283","ZOLL SERVICES LLC (A/K/A ZOLL LIFECOR CORP)","LIFEVEST","Food and Beverage","2023","8.24"
"1326034489","UCB, INC.","BIMZELX","Food and Beverage","2023","115.42"
"1689831950","SMITH & NEPHEW, INC.","GRAFIX PL","Food and Beverage","2021","86.04"
"1952365116","SANOFI PASTEUR INC.","FLUZONE HIGH-DOSE","Food and Beverage","2022","17.36"
"1659326726","GLAXOSMITHKLINE, LLC.","NUCALA","Food and Beverage","2018","22.69"
"1275565939","ALLERGAN INC.","BYSTOLIC","Food and Beverage","2017","11.04"
"1700880648","GALDERMA LABORATORIES, L.P.","","Speaking / Faculty Fee (Non-CME-related)","2019","14100"
"1649299942","ASTRAZENECA PHARMACEUTICALS LP","FASENRA","Food and Beverage","2023","86.62"
"1750397360","SANOFI-AVENTIS U.S. LLC","PRALUENT","Food and Beverage","2019","29.06"
"1205801552","ABBVIE, INC.","SYNTHROID","Food and Beverage","2022","13.29"
"1902928799","COOK INCORPORATED","ZENITH ALPHA","Food and Beverage","2023","4.61"
"1245714831","REGENERON PHARMACEUTICALS, INC.","LIBTAYO","Food and Beverage","2023","115.14"
"1255438164","ACORDA THERAPEUTICS, INC","INBRIJA","Travel and Lodging","2020","1897.72"
"1326280769","GLAXOSMITHKLINE, LLC.","NUCALA","Food and Beverage","2019","23.32"
"1033143474","PFIZER INC.","NURTEC ODT","Food and Beverage","2023","49.129997"
"1174606768","PREMIER DENTAL PRODUCTS COMPANY","","Education","2020","35"
"1861554826","AMGEN INC.","PROLIA","Food and Beverage","2018","17.39"
"1720109598","SANOFI-AVENTIS U.S. LLC","PRALUENT","Food and Beverage","2019","47.21"
"1922146760","VANDA PHARMACEUTICALS INC.","FANAPT","Speaking / Faculty Fee (Non-CME-related)","2023","1800"
"1891011573","MEDTRONIC, INC.","ARCTIC FRONT","Food and Beverage","2019","44.44"
"1386886729","BAUSCH HEALTH US, LLC","LOTEMAX OINTMENT","Food and Beverage","2018","14.639999"
"1033117346","AXOGEN","","Food and Beverage","2016","25.52"
"1801116462","PFIZER INC.","PREMARIN","Food and Beverage","2020","1.53"
"1114955457","OTSUKA AMERICA PHARMACEUTICAL, INC.","REXULTI","Food and Beverage","2023","44.4"
"1912015686","SANOFI-AVENTIS U.S. LLC","TZIELD","Food and Beverage","2023","24.39"
"1093896516","NXSTAGE MEDICAL, INC.","NONE/NXSTAGE KIDNEY CARE","Food and Beverage","2018","89.55"
"1902966039","KOWA COMPANY, LTD.","LIVALO","Food and Beverage","2021","53.29"
"1659808103","IRONSHORE PHARMACEUTICALS INC.","JORNAY PM","Food and Beverage","2023","24.16"
"1699745232","EDWARDS LIFESCIENCES CORPORATION","CARPENTIER-EDWARDS PHYSIO II ANNULOPLASTY RING","Food and Beverage","2017","201.81"
"1427074616","SANOFI-AVENTIS U.S. LLC","PRALUENT","Food and Beverage","2016","24.26"
"1558655035","UCB, INC.","VIMPAT","Food and Beverage","2016","57.760002"
"1174593404","NEVRO CORP","SENZA SPINAL CORD STIMULATION SYSTEM","Food and Beverage","2017","209.53"
"1386040616","REGENERON PHARMACEUTICALS, INC.","PRALUENT ALIROCUMAB INJECTION","Food and Beverage","2018","61.370003"
"1215193115","ARTHREX, INC.","","Travel and Lodging","2016","266.2"
"1124324967","NOVO NORDISK INC","OZEMPIC","Food and Beverage","2018","67.77"
"1659711166","BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.","JARDIANCE","Food and Beverage","2018","83.229996"
"1285993535","AMGEN INC.","ENBREL","Food and Beverage","2017","33.08"
"1407811250","NOVO NORDISK INC","WEGOVY","Food and Beverage","2023","42.27"
"1902933286","ABBVIE, INC.","LUMIGAN","Food and Beverage","2023","126.62"
"1427365790","ABBVIE, INC.","","Food and Beverage","2023","302.1"
"1346282126","HORIZON THERAPEUTICS PLC","PENNSAID","Food and Beverage","2018","43.06"
"1205086931","SMITH & NEPHEW, INC.","COBLATION - TONSIL WANDS","Food and Beverage","2019","19.53"
"1598082331","STRYKER CORPORATION","T2","Food and Beverage","2017","18.22"
"1316408404","ESPERION THERAPEUTICS, INC.","NEXLETOL","Food and Beverage","2023","22.39"
"1790956027","BOSTON SCIENTIFIC CORPORATION","SYMPHION","Food and Beverage","2019","14.91"
"1942417811","DEPUY SYNTHES PRODUCTS, INC.","CORAIL","Food and Beverage","2017","105.95"
"1033418249","RADIUS HEALTH, INC.","TYMLOS","Food and Beverage","2018","212.9"
"1952846016","GLAXOSMITHKLINE, LLC.","SHINGRIX","Food and Beverage","2023","22.36"
"1487144473","NOVARTIS PHARMACEUTICALS CORPORATION","ENTRESTO","Food and Beverage","2023","15.69"
"1679568828","SANOFI-AVENTIS U.S. LLC","TOUJEO","Food and Beverage","2017","20.08"
"1205854015","TEVA PHARMACEUTICALS USA, INC.","","Food and Beverage","2022","6.94"
"1891739686","PFIZER INC.","ELIQUIS","Food and Beverage","2017","14.32"
"1477503316","MERZ, INC.","","Food and Beverage","2017","95.8"
"1922176072","VERAN MEDICAL TECHNOLOGIES, INC.","SPIN","Food and Beverage","2017","180.91"
"1659371193","PFIZER INC.","CHANTIX","Food and Beverage","2018","27.320002"
"1386646743","THERAPEUTICSMD, INC.","ANNOVERA","Food and Beverage","2020","20.99"
"1093911976","ZOLL SERVICES LLC (A/K/A ZOLL LIFECOR CORP)","LIFEVEST","Food and Beverage","2018","17.38"
"1629522800","JANSSEN PHARMACEUTICALS, INC","INVEGA TRINZA","Food and Beverage","2016","21.55"
"1720363138","IRONWOOD PHARMACEUTICALS, INC","LINZESS","Food and Beverage","2022","35.300003"
"1477887768","BOSTON SCIENTIFIC CORPORATION","GENERAL - ATHERECTOMY","Food and Beverage","2017","471.2"
"1376582833","MEISINGER USA, LLC","856H-018-FG","Gift","2017","45.5"
"1013012707","CORCEPT THERAPEUTICS","KORLYM","Food and Beverage","2017","19.59"
"1346223856","ALK-ABELLO, INC","OTIPRIO","Food and Beverage","2021","164.96"
"1700812914","GLAXOSMITHKLINE, LLC.","BEXSERO","Food and Beverage","2022","19.04"
"1619011988","KOWA COMPANY, LTD.","LIVALO","Food and Beverage","2016","68.18"
"1689990061","FORTOVIA THERAPEUTICS, INC.","SOLTAMOX","Food and Beverage","2020","16.26"
"1225069115","PFIZER INC.","ESTRING","Food and Beverage","2016","16.37"
"1609247477","GENZYME CORPORATION","DUPIXENT","Food and Beverage","2023","51.36"
"1235160334","PRUGEN, INC. PHARMACEUTICALS","","Food and Beverage","2019","73.44"
"1255316766","TEVA PHARMACEUTICALS USA, INC.","COPAXONE","Food and Beverage","2017","205.81999"
"1962422089","KCI USA, INC.","BAIR HUGGER","Food and Beverage","2022","19.56"
"1104344282","ABBVIE, INC.","VRAYLAR","Food and Beverage","2021","224.34"
"1467647859","JANSSEN PHARMACEUTICALS, INC","XARELTO","Food and Beverage","2019","34.58"
"1649265976","INCYTE CORPORATION","OPZELURA","Food and Beverage","2023","26.06"
"1023080116","AMGEN INC.","EVENITY","Food and Beverage","2021","28.699999"
"1003966003","DUCHESNAY USA INCORPORATED","DICLEGIS","Food and Beverage","2016","24.470001"
"1376563551","BOEHRINGER INGELHEIM PHARMACEUTICALS, INC.","JARDIANCE","Food and Beverage","2019","13.78"
"1669852448","ACERUS PHARMACEUTICALS CORPORATION","NATESTO","Food and Beverage","2022","110.49"
"1144487711","MERCK SHARP & DOHME CORPORATION","GARDASIL 9","Food and Beverage","2022","20"
"1437468857","BRAINTREE LABORATORIES, INC.","MOTOFEN","Food and Beverage","2019","24.69"
"1962516328","JANSSEN PHARMACEUTICALS, INC","","Education","2017","6.02"
"1982763694","BAYER HEALTHCARE PHARMACEUTICALS INC.","KERENDIA","Food and Beverage","2023","229.87"
"1114087632","DEPUY SYNTHES PRODUCTS, INC.","LIFENET VIVIGEN","Food and Beverage","2016","13.8"
"1184935199","ASTRAZENECA PHARMACEUTICALS LP","BEVESPI AEROSPHERE","Food and Beverage","2017","14.03"
"1447425160","EDWARDS LIFESCIENCES CORPORATION","EDWARDS SAPIEN 3 TRANSCATHETER HEART VALVE","Travel and Lodging","2016","3250.11"
"1518968825","DAIICHI SANKYO INC.","ENHERTU","Travel and Lodging","2019","1052.73"
"1700849213","KYOWA KIRIN, INC.","NOURIANZ","Food and Beverage","2022","20.74"
"1053379263","NESTLE HEALTHCARE NUTRITION INC.","ZENPEP","Food and Beverage","2021","175.92"
"1922101161","NOVARTIS PHARMACEUTICALS CORPORATION","SANDOSTATIN","Food and Beverage","2019","14.46"
"1932228335","PHILIPS ELECTRONICS NORTH AMERICA CORPORATION","(3110) OHC UND","Food and Beverage","2023","14.21"
"1013298074","ACTEON INC","MINI LED OVAL LIGHT SHIELD; OPALESCENT LIGHT GUIDE F/MINI LED BLACK","Gift","2019","314"
"1588316681","HORIZON THERAPEUTICS PLC","","Food and Beverage","2023","33.33"
"1639237720","VALEANT PHARMACEUTICALS NORTH AMERICA LLC","MOVIPREP","Food and Beverage","2017","9.06"
"1124096177","MEDTRONIC, INC.","CARELINK","Food and Beverage","2016","19.77"
"1457328304","JANSSEN PHARMACEUTICALS, INC","XARELTO","Education","2017","4.64"
"1467086371","PFIZER INC.","ELIQUIS","Food and Beverage","2023","64.28"
"1841257409","TERUMO MEDICAL CORPORATION","METACROSS OTW","Food and Beverage","2021","22.17"
"1801277702","ARDELYX, INC.","IBSRELA","Food and Beverage","2022","18.9"
"1235189705","OTSUKA AMERICA PHARMACEUTICAL, INC.","ABILIFY MAINTENA","Food and Beverage","2019","183.43001"
"1235180647","MERCK SHARP & DOHME CORPORATION","DIFICID","Food and Beverage","2017","43.97"
"1548648900","BAYER HEALTHCARE PHARMACEUTICALS INC.","KERENDIA","Food and Beverage","2023","48.37"
"1548235773","ABBOTT LABORATORIES","ETERNA","Food and Beverage","2023","18.98"
"1669146882","GLAXOSMITHKLINE, LLC.","TRELEGY ELLIPTA","Food and Beverage","2023","16.26"
"1578862694","ABBVIE, INC.","VRAYLAR","Food and Beverage","2021","103.85"
"1679520969","ABBVIE, INC.","QULIPTA","Food and Beverage","2023","66.24"
"1053381715","NOVARTIS PHARMACEUTICALS CORPORATION","ENTRESTO","Food and Beverage","2016","408.51"
"1023081395","MERCK SHARP & DOHME CORPORATION","JANUVIA","Food and Beverage","2018","11.28"
"1598008856","MYLAN PHARMACEUTICALS INC.","YUPELRI","Food and Beverage","2019","22.08"
"1245523695","AMGEN INC.","PROLIA","Food and Beverage","2016","11.59"
"1982763314","GILEAD SCIENCES, INC.","","Food and Beverage","2023","26.02"
"1447336045","JANSSEN PHARMACEUTICALS, INC","TREMFYA","Food and Beverage","2019","62.61"
"1619072188","DEPOMED, INC.","NUCYNTA","Food and Beverage","2017","74.53"
"1568474831","MERCK SHARP & DOHME CORPORATION","NEXPLANON","Food and Beverage","2018","12.92"
"1124291828","ELI LILLY AND COMPANY","TRULICITY","Food and Beverage","2016","62.37"
"1811925456","DJO, LLC","CMF SPINALOGIC","Food and Beverage","2019","35.44"
"1457326563","AKCEA THERAPEUTICS, INC.","TEGSEDI","Food and Beverage","2019","14"
"1720036239","ELI LILLY AND COMPANY","BASAGLAR","Food and Beverage","2019","19.76"
"1972277267","EPIZYME, INC.,","","Food and Beverage","2022","104.32"
"1518224633","ABBVIE, INC.","RINVOQ","Food and Beverage","2023","28.029999"
"1184164022","BOSTON SCIENTIFIC CORPORATION","GENERAL - PAIN MANAGEMENT","Food and Beverage","2022","142.2"
"1114099173","MERCK SHARP & DOHME CORPORATION","PNEUMOVAX 23","Food and Beverage","2020","28.17"
"1558351486","LUPIN INC.","SUPRAX","Food and Beverage","2018","13.99"
"1649291238","ABBVIE, INC.","CREON","Food and Beverage","2022","94.22"
"1659542702","JANSSEN PHARMACEUTICALS, INC","IMBRUVICA","Food and Beverage","2022","28.71"
"1952399222","NOVO NORDISK INC","VICTOZA","Food and Beverage","2017","10.44"
"1003926353","DAIICHI SANKYO INC.","MOVANTIK","Food and Beverage","2016","11.14"
"1336609908","PFIZER INC.","COMIRNATY","Food and Beverage","2023","42.59"
"1023438017","FLEXION THERAPEUTICS, INC.","ZILRETTA","Food and Beverage","2018","392.77"
"1679524706","ABIOMED","IMPELLA","Food and Beverage","2017","23.31"
"1023145125","NOVO NORDISK INC","TRESIBA","Food and Beverage","2020","116.65"
"1790170561","MIRUM PHARMACEUTICALS, INC.","LIVMARLI","Food and Beverage","2023","19.52"
"1871835173","E.R. SQUIBB & SONS, L.L.C.","OPDIVO","Consulting Fee","2021","1151.02"
"1396979480","SMITH & NEPHEW, INC.","TAYLOR SPATIAL FRAME","Food and Beverage","2018","42.45"
"1710206545","OTSUKA AMERICA PHARMACEUTICAL, INC.","REXULTI","Food and Beverage","2017","229.96"
"1407999378","GILEAD SCIENCES, INC.","","Food and Beverage","2023","48.98"
"1669686390","US WORLDMEDS, LLC","APOKYN","Food and Beverage","2018","25.27"
"1104367697","HORIZON THERAPEUTICS PLC","PENNSAID","Food and Beverage","2019","15.08"
"1568499606","ABBVIE, INC.","LINZESS","Food and Beverage","2021","18.46"
"1477555654","ADLON THERAPEUTICS L.P.","ADHANSIA XR","Food and Beverage","2019","18.36"
"1972983849","SHIRE NORTH AMERICAN GROUP INC","TAKHZYRO","Food and Beverage","2019","11.38"
"1679538193","COCHLEAR AG","NUCLEUS","Food and Beverage","2017","77.54"
"1952412918","PHARMACYCLICS LLC, AN ABBVIE COMPANY","IMBRUVICA","Food and Beverage","2019","16.21"
"1902936925","JANSSEN PHARMACEUTICALS, INC","INVOKANA","Food and Beverage","2017","18.16"
"1902196140","ABBVIE, INC.","HUMIRA","Food and Beverage","2018","100.49"
"1225073489","ABBVIE, INC.","","Food and Beverage","2018","130.25"
"1992277297","NESTLE HEALTHCARE NUTRITION INC.","ZENPEP","Food and Beverage","2021","17.05"
"1639154727","EYEVANCE PHARMACEUTICALS LLC","TOBRADEX ST","Food and Beverage","2022","134.02"
"1801887559","PBG PUERTO RICO LLC","ELIQUIS","Food and Beverage","2022","53.22"
"1881099471","LILLY USA, LLC","TRULICITY","Food and Beverage","2023","38.6"
