"projectId","display","codingType","tcSize"
"1480","Cytoplasmic Body Myopathy","condition","2001"
"4734","X-Linked Dominant Scapuloperoneal Myopathy","condition","7336"
"5979","Morton Neuroma","condition","66851"
"2165","GEMSS Syndrome","condition","3802"
"6451","Thyroid Eye Disease","condition","5197"
"3213","Marshall-Smith Syndrome","condition","907"
"5587","Yunis-Varon Syndrome","condition","5598"
"5509","Pertussis","condition","67573"
"5234","Toxoplasmosis","condition","177388"
"5882","Hypermobile Joints","condition","131905"
"6448","Sphincter of Oddi Dysfunction","condition","3533"
"139","Adrenoleukodystrophy (ALD)","condition","17823"
"1745","Ehlers-Danlos Syndrome (EDS)","condition","37582"
"4757","Scleredema","condition","6192"
"90","Guillain-Barre Syndrome","condition","89965"
"2201","Bernard-Soulier Syndrome","condition","18091"
"3528","Mucopolysaccharidosis Type 3B (MPS IIIB, Sanfilippo Syndrome B)","condition","1748"
"6595","Cushing's disease","condition","31812"
"3137","Macrodactyly of the Hand","condition","2112"
"4370","Prekallikrein Deficiency","condition","28617"
"681","ALG9-CDG","condition","4016"
"5583","Testicular Yolk Sac Tumor","condition","502602"
"5776","Endophthalmitis","condition","116263"
"452","Autonomic Neuropathy","condition","69502"
"5643","Atheroembolic Renal Disease","condition","1209"
"623","Brain Stem Cancer","condition","89077"
"4065","Pallister-Hall Syndrome","condition","7178"
"3586","Limb-Girdle Muscular Dystrophy","condition","36732"
"3726","Perlman Syndrome","condition","447"
"2382","Hemihyperplasia","condition","6578"
"2865","Spinal and Bulbar Muscular Atrophy","condition","110945"
"6099","Pseudomembranous Colitis","condition","335671"
"1110","Ring Chromosome 18","condition","219"
"5621","Amebic Liver Abscess","condition","16294"
"3049","Liposarcoma","condition","309463"
"4058","Extramammary Paget Disease","condition","299832"
"6252","Vaginal Bleeding Between Periods","condition","278343"
"3679","Myotonia Congenita","condition","54976"
"1658","Dupuytren Contracture","condition","129853"
"109","Acute Posterior Multifocal Placoid Pigment Epitheliopathy (APMPPE)","condition","1938"
"6048","Parinaud Oculoglandular Syndrome","condition","193467"
"6450","Tarlov Cysts","condition","1207"
"3109","Lymphocytic Vasculitis","condition","7142"
"1975","Hyperlipoproteinemia Type 4","condition","87041"
"5419","Vein of Galen Aneurysm","condition","17836"
"1278","Congenital Diaphragmatic Hernia","condition","747350"
"3245","Megalencephalic Leukoencephalopathy with Subcortical Cysts","condition","10931"
"5827","Ganglioneuroma","condition","150833"
"3839","Occipital Horn Syndrome","condition","2527"
"2845","Monomelic Amyotrophy","condition","2390"
"6386","Ileostomy","procedure","59408"
"5797","Fecal Impaction","condition","175319"
"1303","Microvillus Inclusion Disease","condition","1910"
"6527","Necrotizing Myopathy (NM)","condition","79350"
"6148","Scrofula","condition","28319"
"3095","Lymphangioleiomyomatosis","condition","16493"
"41","Acoustic Neuroma","condition","144809"
"6413","Exocrine Pancreatic Insufficiency","condition","27225"
"6509","Hereditary Ataxia","condition","70260"
"62","Acromegaloid Facial Appearance Syndrome","condition","84137"
"5785","Episcleritis","condition","226684"
"790","Caroli Disease","condition","14113"
"5488","Waterhouse-Friderichsen Syndrome","condition","2018"
"6449","Subglottic Stenosis","condition","5021"
"876","Cervical Cancer","condition","731606"
"650","Brugada Syndrome","condition","205689"
"1840","Dominant Dystrophic Epidermolysis Bullosa","condition","5370"
"5988","Pediatric Myocarditis","condition","6271782"
"5896","Indigestion","condition","461189"
"6058","Perianal Streptococcal Cellulitis","condition","90537"
"3026","Li-Fraumeni Syndrome","condition","35907"
"878","Klippel-Feil Syndrome","condition","34889"
"2687","Hypopituitarism","condition","126477"
"2974","Legg-Calve-Perthes Disease (LCPD)","condition","10981"
"432","Athabaskan Brain Stem Dysgenesis","condition","5477"
"5324","Tyrosinemia Type 2","condition","353"
"146","Desmoid Tumor","condition","63493"
"4924","Spinal Muscular Atrophy (SMA)","condition","161013"
"3955","Renal Coloboma Syndrome","condition","949"
"6627","Lymphadenectomy","procedure","81324"
"6047","Parathyroid Hyperplasia","condition","225117"
"2246","Glutamate Decarboxylase Deficiency","condition","6992"
"4829","Shwartzman Phenomenon","condition","64892"
"2858","Kaposiform Hemangioendothelioma","condition","219159"
"5194","Thymic Epithelial Tumor","condition","119510"
"3279","Meningocele","condition","21837"
"4468","Pseudoxanthoma Elasticum","condition","41118"
"1878","Erythema Multiforme","condition","66248"
"512","Benign Paroxysmal Positional Vertigo","condition","626105"
"5198","Thyroid Dysgenesis","condition","37817"
"2496","Holocarboxylase Synthetase Deficiency","condition","2407"
"738","Camptodactyly Taurinuria","condition","4526"
"5609","Acute Cerebellar Ataxia","condition","60855"
"4447","Pseudocholinesterase Deficiency","condition","70166"
"435","Atopic Dermatitis","condition","352232"
"3529","Mucopolysaccharidosis Type 4 (MPS IV, Morquio Syndrome)","condition","8369"
"463","Balantidiasis","condition","1872"
"4572","Infantile Refsum Disease","condition","1777"
"6631","Fasciotomy","procedure","29900"
"2850","Kabuki Syndrome","condition","6601"
"908","Charlie M Syndrome","condition","3773"
"6431","Myeloproliferative Neoplasms (MPN)","condition","106579"
"1607","Dihydropteridine Reductase Deficiency","condition","1053"
"4504","Pulmonary Hypertension","condition","900907"
"1220","Coloboma of Eye Lens","condition","805"
"434","Athetosis","condition","26554"
"1594","Split Spinal Cord Malformation","condition","387"
"6520","Knee Replacement","procedure","309799"
"81","Acrospiroma","condition","57875"
"3689","Naegeli-Franceschetti-Jadassohn Syndrome","condition","185"
"5154","Tetrasomy X","condition","148"
"6031","Otitis","condition","2077072"
"6308","Unicentric Castleman Disease (UCD)","condition","10314"
"6103","Pulmonary Aspergilloma","condition","22336"
"3991","Osteoarthritis","condition","14689593"
"4627","Retinoblastoma","condition","182009"
"6320","Rhabdoid Tumor Predisposition Syndrome","condition","105228"
"2448","Hereditary Sensory Neuropathy Type 1 (HSN1)","condition","35651"
"1671","Dysferlinopathy","condition","14912"
"4725","Satoyoshi Syndrome","condition","1717"
"1014","Chromosome 4q Duplication","condition","195"
"3183","Mandibuloacral Dysplasia","condition","1219"
"6080","Pleurisy","condition","2280244"
"3459","Midline Cleft of Lower Lip","condition","771"
"2827","Jones Syndrome","condition","1020932"
"2348","Hearing Loss","condition","575743"
"1422","Cronkhite-Canada Disease","condition","186038"
"6409","Painful Menstrual Periods","condition","26413"
"177","Aleukemic Leukemia Cutis (ALC)","condition","2972"
"6177","Splenic Infarction","condition","37507"
"1865","Multiple Epiphyseal Dysplasia","condition","2520"
"59","Acrofacial Dysostosis Weyers Type","condition","308"
"994","Chromosome 2p Duplication","condition","136"
"3625","Mycoplasma Pneumonia","condition","51677"
"371","Hydrocephalus due to Congenital Stenosis of Aqueduct of Sylvius","condition","2538"
"160","Osteopetrosis","condition","23769"
"1082","Ring Chromosome 14","condition","216"
"2771","Flu","condition","1577336"
"2127","GTP Cyclohydrolase 1 Deficiency","condition","71501"
"2289","Graft Versus Host Disease (GvHD)","condition","330511"
"826","Celiac Disease","condition","207381"
"4160","Pemphigus Vulgaris","condition","61898"
"2158","Gaucher Disease","condition","41672"
"1620","Dissecting Cellulitis of the Scalp","condition","46937"
"2084","Follicular Ichthyosis","condition","3400"
"6370","Severe Fever with Thrombocytopenia Syndrome","condition","18657"
"3132","Megalencephaly-Capillary Malformation Syndrome","condition","497"
"5071","Learman Syndrome","condition","1912"
"1665","Familial Dysautonomia","condition","126183"
"1432","Culler Jones Syndrome","condition","5460"
"2108","Frontometaphyseal Dysplasia","condition","749"
"5030","Strabismus","condition","235435"
"6122","Retinal Detachment","condition","347227"
"3155","Adult-Onset Vitelliform Macular Dystrophy (AVMD)","condition","16820"
"2779","Type A Insulin Resistance Syndrome","condition","15032"
"1378","Cranio Osteoarthropathy","condition","4670"
"97","Acute Myeloblastic Leukemia without Maturation","condition","262489"
"2939","Lamellar Ichthyosis","condition","7780"
"4891","Spasmodic Dysphonia","condition","92768"
"515","IgA Nephropathy","condition","84748"
"2862","Kawasaki Disease","condition","61364"
"390","Arterial Calcification of Infancy","condition","2831"
"1893","Erythropoietic Protoporphyria","condition","4166"
"4180","Peripartum Cardiomyopathy","condition","13614"
"82","Isolated ACTH Deficiency","condition","36475"
"3534","Muenke Syndrome","condition","1907"
"6152","Secondary Parkinsonism","condition","82169"
"3005","Chronic T-Cell Leukemia (CTCL)","condition","9850"
"3526","Mucopolysaccharidosis Type 3 (MPS III, Sanfilippo Syndrome)","condition","7654"
"5500","Werner Syndrome","condition","16225"
"4122","Progressive Hemifacial Atrophy","condition","13544"
"612","Brachydactyly Type C","condition","345"
"5059","Superior Mesenteric Artery Syndrome (SMAS)","condition","63950"
"5749","Diastasis Recti","condition","3060"
"2704","Hypotonia","condition","45739"
"2094","Frasier Syndrome","condition","5011"
"6543","Nodular Lymphocyte-Predominant Hodgkin Lymphoma (NLPHL)","condition","16306"
"1125","Mosaic Monosomy 22","condition","485"
"5476","Waldenstrom Macroglobulinemia","condition","127216"
"4354","Post-Traumatic Epilepsy","condition","19327"
"6045","Parapneumonic Pleural Effusion","condition","82353"
"1350","Cornelia De Lange Syndrome","condition","11295"
"2475","Beukes Familial Hip Dysplasia","condition","4320"
"2045","Gingival Fibromatosis with Hypertrichosis","condition","437"
"5736","Decorticate Posture","condition","108767"
"3696","Narcolepsy","condition","59114"
"6154","Selective Deficiency of IgA","condition","8702"
"4689","Rubella","condition","46380"
"5373","Obstructive Uropathy","condition","1621114"
"4513","Pulmonary Valves Agenesis","condition","575"
"475","Bare Lymphocyte Syndrome","condition","498"
"6097","Primary Lymphoma of the Brain","condition","151584"
"3019","Leydig Cell Hypoplasia","condition","698"
"1578","Type 2 Diabetes (T2D)","condition","30792852"
"4054","Pachydermoperiostosis","condition","18615"
"1850","Epilepsy Juvenile Absence","condition","32095"
"3415","Autosomal Recessive Primary Microcephaly","condition","3025"
"6400","Aphantasia","condition","2557"
"4996","Spondyloepiphyseal Dysplasia Congenita","condition","1661"
"4186","Peritonitis","condition","372651"
"6458","Vocal Cord Dysfunction","condition","71807"
"2726","Idiopathic Neutropenia","condition","26718"
"4427","Prostate Cancer","condition","5487127"
"5325","Tyrosinemia Type 3","condition","165"
"6189","Subacute Thyroiditis","condition","12510"
"5119","Tarsal Tunnel Syndrome","condition","22580"
"6108","Infantile Pyloric Stenosis","condition","22826"
"6508","Neurofibromatosis","condition","123630"
"5942","Lymphoid Hyperplasia","condition","169824"
"2870","Muir-Torre Syndrome","condition","52435"
"6398","Frozen Shoulder","condition","182680"
"231","Chagas Disease","condition","114234"
"5712","Clubfoot","condition","33586"
"2957","Laryngomalacia","condition","5229"
"2846","Juvenile Myoclonic Epilepsy","condition","14198"
"525","Beta Thalassemia","condition","97758"
"6554","Acid Sphingomyelinase Deficiency (ASMD)","condition","2794"
"4442","Prune Belly Syndrome","condition","4148"
"5730","Cushing's syndrome due to Adrenal Tumor","condition","18220"
"6157","Septic Arthritis","condition","125380"
"6566","Pacemaker Implantation","procedure","726307"
"533","Bilateral Renal Agenesis Dominant Type","condition","1920"
"367","Apraxia","condition","31962"
"6075","Pityriasis Alba","condition","1141"
"3711","Nemaline Myopathy","condition","8650"
"1676","Drug Induced Dyskinesia","condition","839071"
"314","Ophthalmo-Acromelic Syndrome","condition","1613"
"3745","Neu Laxova Syndrome","condition","5624"
"4196","Peters Anomaly","condition","2188"
"5093","Synovial Osteochondromatosis","condition","47772"
"2226","Glioma","condition","1490442"
"1058","Chromosome 10q Deletion","condition","183"
"1438","Proximal Symphalangism","condition","1292"
"2341","Hartsfield Syndrome","condition","11792"
"4912","Spermatogenesis Arrest","condition","2876"
"3503","Monoamine Oxidase A Deficiency","condition","1152"
"4079","Pancreatic Islet Cell Tumor","condition","67431"
"5598","Fourth Cranial Nerve Palsy","condition","1901"
"1102","Trisomy 17 Mosaicism","condition","782"
"6475","Muscle Invasive Bladder Cancer","condition","243482"
"2596","Juvenile Paget's Disease","condition","21731"
"125","Adenylosuccinate Lyase Deficiency","condition","1780"
"3267","Melorheostosis","condition","2178698"
"4581","Renal Cell Carcinoma (RCC)","condition","1464962"
"3350","Abdominal Obesity Metabolic Syndrome","condition","337928"
"2317","Hairy Cell Leukemia (HCL)","condition","147000"
"6576","Spontaneous Coronary Artery Dissection (SCAD)","condition","13658"
"788","Primary Carnitine Deficiency","condition","2711"
"6511","Koolen De Vries Syndrome","condition","5552"
"1230","Lynch Syndrome","condition","1497923"
"5708","Chronic Subdural Hematoma","condition","650085"
"5653","Bacterial Gastroenteritis","condition","395552"
"5947","Malnutrition","condition","1126176"
"1200","Cockayne Syndrome Type 1","condition","11100"
"6","Abdominal Cystic Lymphangioma","condition","9481"
"2748","Inborn Renal Aminoaciduria","condition","1681"
"6063","Periorbital Cellulitis","condition","43253"
"5302","Truncus Arteriosus","condition","6286"
"6216","Drug-Induced Thrombocytopenia","condition","41274"
"6586","Nutcracker Syndrome (NCS)","condition","3480"
"5578","Yaws","condition","6571"
"6490","Small Lymphocytic Lymphoma (SLL)","condition","256177"
"421","Asperger's Syndrome","condition","19846"
"5880","Hyperemesis Gravidarum","condition","18420"
"3363","Pyle Disease","condition","2896"
"2301","Griscelli Syndrome","condition","30954"
"1818","Embryonal Tumor with Multilayered Rosettes","condition","690596"
"6625","Mastoidectomy","procedure","7023"
"2211","Gitelman Syndrome","condition","1489484"
"5662","Bilirubin Encephalopathy","condition","7271"
"1079","Chromosome 13q Deletion","condition","1744"
"6267","Visceromegaly","condition","2514710"
"2192","Giant Axonal Neuropathy","condition","29862"
"4748","Autoimmune Polyglandular Syndrome Type 2","condition","13413"
"6202","Swimming Pool Granuloma","condition","2018"
"2644","Autosomal Dominant Hypocalcemia","condition","127549"
"3061","Long QT Syndrome","condition","108907"
"5309","Pulmonary Tuberculosis","condition","385382"
"1711","Ectodermal Dysplasias","condition","43590"
"1779","Encephalitis Lethargica","condition","3043"
"2995","Leptospirosis","condition","56793"
"2064","Fish-Eye Disease","condition","31566"
"3080","Lujan Syndrome","condition","5578"
"2838","Juvenile Dermatomyositis","condition","11869"
"6276","Chronic Antibody-Mediated Rejection","condition","86935"
"1294","Congenital Hypothyroidism","condition","69239"
"4999","Kozlowski Spondylometaphyseal Dysplasia","condition","296"
"26","Triple A Syndrome","condition","94247"
"2905","Kniest Dysplasia","condition","810"
"638","Bronchiolitis Obliterans","condition","184144"
"2264","Glycogen Storage Disease Type 9","condition","707"
"5889","Hypogonadotropic Hypogonadism","condition","132966"
"6384","Colostomy","procedure","93261"
"5414","Hypersensitivity Vasculitis","condition","22094"
"1585","Diaphragmatic Hernia","condition","119405"
"5284","Triploidy","condition","10575"
"1958","Factor 11 Deficiency","condition","7872"
"5468","Waardenburg Syndrome Type 1","condition","6690"
"6512","Legius Syndrome","condition","10604"
"4875","Smallpox","condition","30333"
"431","Atelosteogenesis Type 2","condition","247"
"6521","Hip Replacement","procedure","885040"
"2049","Fibrosing Mediastinitis","condition","29448"
"1586","Fryns Syndrome","condition","2124"
"5976","Mongolian Blue Spots","condition","30340"
"6270","Childhood Volvulus","condition","347910"
"3037","Lipidosis with Triglycerid Storage Disease","condition","4731"
"6145","Scleritis","condition","29946"
"547","Birdshot Chorioretinopathy","condition","4769"
"3056","Liver Cancer","condition","1898342"
"3823","Noonan Syndrome","condition","10540"
"4157","Pemphigus","condition","69397"
"3871","Ochronosis","condition","8776"
"5267","Trichomoniasis","condition","48794"
"5434","Vernal Keratoconjunctivitis","condition","27305"
"1347","Macular Corneal Dystrophy Type 1","condition","124615"
"6162","Silent Thyroiditis","condition","26430"
"3448","Microscopic Polyangiitis","condition","19900"
"4089","Papilledema","condition","53040"
"5477","Primary Intestinal Lymphangiectasia","condition","488391"
"213","Hypersensitivity Pneumonitis","condition","189963"
"5076","Fainting","condition","11029710"
"5919","Laryngitis","condition","268705"
"1302","Congenital Mesoblastic Nephroma","condition","52118"
"5007","Sporotrichosis","condition","13225"
"3453","Microsporidiosis","condition","14660"
"245","Primary Amyloidosis","condition","283393"
"4045","Ovarian Carcinosarcoma","condition","471240"
