"primary_type_2_npi","referring_type_2_npi","primary_type_2_npi_city","referring_type_2_npi_city","primary_type_2_npi_state","referring_type_2_npi_state","primary_type_2_npi_postal_code","referring_type_2_npi_postal_code","primary_type_2_npi_lat","referring_type_2_npi_lat","primary_type_2_npi_lng","referring_type_2_npi_lng","primary_type_2_npi_name","referring_type_2_npi_name","primary_hospital_name","referring_hospital_name","primary_type_1_npi","referring_type_1_npi","primary_type_1_npi_name","referring_type_1_npi_name","primary_specialty","referring_specialty","date","diagnosis_code","diagnosis_code_description","procedure_code","procedure_code_description","total_claim_charge","total_claim_line_charge","patient_count"
"1265587000","1588697296","FARMINGDALE","BOCA RATON","NEW YORK","FLORIDA","11735","33428","40.731590270996094","26.34933090209961","-73.43270111083984","-80.21542358398438","APEX LABORATORY, INC.","WEST BOCA MEDICAL CENTER, INC.","","West Boca Medical Center","0","1417939141","","MARCELO FILIZZOLA","","","2020-07-01","","","80202","Drug Screen Quantitative Vancomycin","345.86","81.24","3"
"1962502229","1184694291","NEW YORK","BRONX","NEW YORK","NEW YORK","10005","10453","40.70616149902344","40.85231018066406","-74.00907135009766","-73.91352844238281","INTEGRA PARTNERS LLC","MORRIS HEIGHTS HEALTH CENTER, INC.","","St. Barnabas Hospital","0","1942752431","","SUSAN HUBBARD","","","2021-07-01","","","0","Electric breast pump","435","435","3"
"1538144910","1013042480","BURLINGTON","ARLINGTON","NORTH CAROLINA","VIRGINIA","27215","22203","36.03179168701172","38.87376022338867","-79.48890686035156","-77.11723327636719","LABORATORY CORPORATION OF AMERICA HOLDINGS","PRIVIA MEDICAL GROUP, LLC","","VHC Health","0","1720540305","","JACQUELINE KIM","","","2024-04-01","","","80053","Comprehensive Metabolic Panel","140","67.59","1"
"1962502229","1982784534","NEW YORK","COLUMBUS","NEW YORK","OHIO","10005","43213","40.70616149902344","39.96894073486328","-74.00907135009766","-82.86750793457031","INTEGRA PARTNERS LLC","MOUNT CARMEL HEALTH SYSTEM","","Mount Carmel East","0","1730614785","","CHANEL SINCLAIR","","","2023-09-01","","","0","Electric breast pump","155","155","1"
"1154586808","0","PONCE","","PUERTO RICO","","00716","","17.999399185180664","0","-66.60006713867188","0","LABORATORIO CLINICO Y MOLECULAR SOUTHERN PATHOLOGY SERVICES, INC.","","","","0","1699984674","","PASCUAL MUNIZ","","","2018-04-01","","","87624","Iadna Human Papillomavirus Hi-Rsk Typ Poold Rslt","33.7","33.7","1"
"1346467354","1790714426","IRVINE","LOS ANGELES","CALIFORNIA","CALIFORNIA","92618","90095","33.66815948486328","34.07123947143555","-117.73420715332031","-118.4432601928711","PACIFIC MEDICAL LABORATORY","JAMSHID MADDAHI MD, INC.","","Ronald Reagan UCLA Medical Center","0","1154453769","","JAMSHID MADDAHI","","","2024-08-01","","","83021","Hemoglobin Fractj/Quantj Chromotography","9041","219.48","7"
"0","1437334646","","OZONE PARK","","NEW YORK","","11416","0","40.6845817565918","0","-73.84960174560547","","ADVANCED CARDIAC CARE,PLLC","","NYC Health + Hospitals Queens","0","1639275084","","MICHAEL AVARICIO","","","2020-06-01","","","82728","Assay Of Ferritin","1845","200","1"
"1346467354","1437186798","IRVINE","BEVERLY HILLS","CALIFORNIA","CALIFORNIA","92618","90211","33.66815948486328","34.06496047973633","-117.73420715332031","-118.38294219970703","PACIFIC MEDICAL LABORATORY","8920 MEDICAL ASSOCIATES, INC.","","Cedars-Sinai Medical Center","0","1144208950","","MICHAEL BUSH","","","2024-08-01","","","36415","Collection Venous Blood Venipuncture","557","25","1"
"1962502229","1114984671","NEW YORK","HYANNIS","NEW YORK","MASSACHUSETTS","10005","02601","40.70616149902344","41.660301208496094","-74.00907135009766","-70.29682159423828","INTEGRA PARTNERS LLC","CAPE COD HOSPITAL INC","","Cape Cod Hospital","0","1407137094","","CHRISTIAN NOBLE","","","2024-08-01","","","0","Electric breast pump","203","200","1"
"1962502229","1275640609","NEW YORK","HUNTINGTON","NEW YORK","NEW YORK","10005","11743","40.70616149902344","40.88124084472656","-74.00907135009766","-73.42678833007812","INTEGRA PARTNERS LLC","NORTH SHORE MEDICAL GROUP OF THE MOUNT SINAI SCHOOL OF MEDICINE","","Huntington Hospital","0","1548898869","","KATHARINE FROST","","","2022-07-01","","","0","Electric breast pump","290","290","2"
"1962502229","1154633980","NEW YORK","STAMFORD","NEW YORK","CONNECTICUT","10005","06907","40.70616149902344","41.100868225097656","-74.00907135009766","-73.52014923095703","INTEGRA PARTNERS LLC","STAMFORD HEALTH MEDICAL GROUP, INC.","","","0","1841826773","","ALINA TSOURISTAKIS","","","2023-04-01","","","0","Oxygen concentrator","202.04","70.02","1"
"1023438538","1073682670","GERMANTOWN","MEMPHIS","TENNESSEE","TENNESSEE","38138","38120","35.08481979370117","35.12351989746094","-89.7992935180664","-89.85218811035156","BYRAM HEALTHCARE CENTERS, INC.","WOMENS CARE CENTER OF MEMPHIS,MPLLC","","","0","1477831261","","KRISTAL TAYLOR","","","2024-09-01","","","0","Electric breast pump","300","300","1"
"1467486233","1093779704","SATSUMA","TEMPLE","ALABAMA","TEXAS","36572","76508","30.85841941833496","31.07745933532715","-88.06047821044922","-97.3641128540039","C & M VITAL CARE","SCOTT & WHITE CLINIC","","Baylor Scott & White Medical Center - Temple","0","1639707425","","CATHERINE MCCULLERS","","","2024-08-01","","","0","Enteral feed supp pump per d","1228","700","1"
"1760801963","1124074273","WILMER","SAN ANTONIO","TEXAS","TEXAS","75172","78229","32.604820251464844","29.505550384521484","-96.67516326904297","-98.57219696044922","MEDLINE INDUSTRIES, LP","METHODIST HEALTHCARE SYSTEM OF SAN ANTONIO, LTD., L.L.P.","","Methodist Hospital","0","1124424155","","OLIVIA GREEN","","","2021-06-01","","","0","Electric breast pump","239.38","239.38","1"
"1790386746","1184933830","","PLACENTIA","","CALIFORNIA","","92870","0","33.880760192871094","0","-117.85511779785156","MOUNTAIN VIEW MEDICAL LABORATORY - ORANGE","CENTERS OF REHABILITATION & PAIN MEDICINE INC","","UCI Health-Placentia Linda","0","1154385961","","ALBERT LAI","","","2022-03-01","","","0","Infec agen detec ampli probe","47730","9675","104"
"1184856148","1467467845","WAYNESVILLE","SAVANNAH","NORTH CAROLINA","GEORGIA","28786","31405","35.46316146850586","32.03948974609375","-82.99226379394531","-81.17256164550781","AEROFLOW HEALTHCARE","SAVANNAH OBGYN PC","","Memorial Health","0","1437256401","","ALAN SMITH","","","2017-10-01","","","0","Electric breast pump","249","249","1"
"1962502229","1164585725","NEW YORK","ROSLYN","NEW YORK","NEW YORK","10005","11576","40.70616149902344","40.798431396484375","-74.00907135009766","-73.64765930175781","INTEGRA PARTNERS LLC","CHS PHYSICIAN PARTNERS, P.C","","Catholic Health Saint Francis Hospital & Heart Center","0","1225279805","","GARRI PASKLINSKY","","","2021-05-01","","","0","Electric breast pump","459.15","459.15","3"
"1962502229","1104808062","NEW YORK","NYACK","NEW YORK","NEW YORK","10005","10960","40.70616149902344","41.092018127441406","-74.00907135009766","-73.92584228515625","INTEGRA PARTNERS LLC","MONTEFIORE NYACK HOSPITAL","","Montefiore Nyack Hospital","0","1841844404","","CAROLYN BERNIER","","","2024-03-01","","","0","Lo sag ri an/pos pnl pre ots","267.19","267.19","1"
"0","1932103413","","NEW YORK","","NEW YORK","","10029","0","40.79172897338867","0","-73.94396209716797","","MOUNT SINAI HOSPITAL","","The Mount Sinai Hospital","0","1487648176","","PHILIP RABITO","","","2020-10-01","","","84146","Assay Of Prolactin","1600","270","1"
"1811997638","1225327984","LIBERTYVILLE","MISHAWAKA","ILLINOIS","INDIANA","60048","46544","42.29521942138672","41.616920471191406","-87.94981384277344","-86.13890838623047","MEDLINE HEALTHCARE COMPANY","FRANCISCAN PHYSICIAN NETWORK","","Valle Vista Health System","0","1912230186","","CARIE MONDERO","","","2022-03-01","","","0","Electric breast pump","213.85","213.85","1"
"1962502229","1124032982","NEW YORK","BROOKLYN","NEW YORK","NEW YORK","10005","11235","40.70616149902344","40.58401870727539","-74.00907135009766","-73.94879913330078","INTEGRA PARTNERS LLC","NEW YORK CITY HEALTH AND HOSPITALS CORPORATION","","NYC Health + Hospitals South Brooklyn Health","0","1518002625","","ROCHEL LIEBERMAN","","","2022-06-01","","","0","Electric breast pump","604.15","604.15","4"
"1497933162","1295319689","SAN DIEGO","","CALIFORNIA","","92127","","33.019798278808594","0","-117.12384796142578","0","MILLENNIUM HEALTH, LLC","BHG LVII, LLC","","Methodist Hospital for Surgery","0","1205850989","","SYLVESTER SVIOKLA","","","2018-05-01","","","0","Drug test def 22+ classes","1568.55","1568.55","3"
"1265587000","1336490051","FARMINGDALE","BRANDON","NEW YORK","FLORIDA","11735","33511","40.731590270996094","27.909849166870117","-73.43270111083984","-82.29460144042969","APEX LABORATORY, INC.","NEIL H WEISMAN MD PA","","HCA Florida Brandon Hospital","0","1649210642","","NEIL WEISMAN","","","2020-08-01","","","80053","Comprehensive Metabolic Panel","1577.6","190.08","18"
"1962502229","0","NEW YORK","","NEW YORK","","10005","","40.70616149902344","0","-74.00907135009766","0","INTEGRA PARTNERS LLC","","","","0","1285219279","","DAYANA HERNANDEZ","","","2022-11-01","","","0","Electric breast pump","169.15","169.15","1"
"1871530667","0","GREENVILLE","","SOUTH CAROLINA","","29601","","34.84775161743164","0","-82.40270233154297","0","GREENVILLE COUNTY EMS","","","","0","1871530667","","GREENVILLE COUNTY EMS","","","2023-12-01","","","0","Unlisted ambulance service","1061.86","1061.86","2"
"1497933162","1992989297","SAN DIEGO","HOQUIAM","CALIFORNIA","WASHINGTON","92127","98550","33.019798278808594","47.10383987426758","-117.12384796142578","-123.93669891357422","MILLENNIUM HEALTH, LLC","BEHAVIORAL HEALTH RESOURCES","","Providence Saint Peter Hospital","0","1215324918","","ROBERT RODGERS","","","2018-05-01","","","0","Drug test def 8-14 classes","343.85","343.85","1"
"1962502229","0","NEW YORK","","NEW YORK","","10005","","40.70616149902344","0","-74.00907135009766","0","INTEGRA PARTNERS LLC","","","","0","1538747548","","KATHRYN KURCHENA","","","2024-09-01","","","0","Electric breast pump","376.48","376.48","2"
"1811997638","1891917639","LIBERTYVILLE","LANCASTER","ILLINOIS","OHIO","60048","43130","42.29521942138672","39.698829650878906","-87.94981384277344","-82.6104965209961","MEDLINE HEALTHCARE COMPANY","OBGYN ASSOCIATES OF LANCASTER, INC.","","","0","1386632099","","LAUREL SANTINO","","","2023-05-01","","","0","Electric breast pump","142","142","1"
"1538144910","1952401804","BURLINGTON","SAINT PAUL","NORTH CAROLINA","MINNESOTA","27215","55116","36.03179168701172","44.90972900390625","-79.48890686035156","-93.17024230957031","LABORATORY CORPORATION OF AMERICA HOLDINGS","ST PAUL ALLERGY & ASTHMA CLINIC P.A.","","M Health Fairview Saint Joseph's Hospital","0","1275822686","","JENNIFER BOECKMAN","","","2024-10-01","","","86161","Complement Functional Activity Each Component","238","238.35","1"
"1962502229","1164464921","NEW YORK","BUFFALO","NEW YORK","NEW YORK","10005","14220","40.70616149902344","42.845638275146484","-74.00907135009766","-78.8232421875","INTEGRA PARTNERS LLC","MERCY HOSPITAL OF BUFFALO","","Mercy Hospital of Buffalo","0","1154315554","","EDDIE MAS","","","2022-12-01","","","0","Electric breast pump","173.47","173.47","1"
"1912952375","0","SOUTHLAKE","","TEXAS","","76092","","32.95998001098633","0","-97.14859008789062","0","BYRAM HEALTHCARE CENTERS, INC.","","","","0","1275009680","","JENNIFER STANLEY","","","2021-08-01","","","0","Electric breast pump","1200","1200","1"
"1962502229","1194832477","NEW YORK","NEW YORK","NEW YORK","NEW YORK","10005","10032","40.70616149902344","40.83884048461914","-74.00907135009766","-73.94278717041016","INTEGRA PARTNERS LLC","THE NEW YORK AND PRESBYTERIAN HOSPITAL","","New York Presbyterian/Weill Cornell Medical Center","0","1013106004","","MICHELE SPANN","","","2022-04-01","","","0","Electric breast pump","169.15","169.15","1"
"1962502229","1841414844","NEW YORK","SLINGERLANDS","NEW YORK","NEW YORK","10005","12159","40.70616149902344","42.64237976074219","-74.00907135009766","-73.88603210449219","INTEGRA PARTNERS LLC","CAPITAL REGION EYE SPECIALIST AND SURGEON PLLC","","Saint Peter's Hospital","0","1457307811","","ROBERT EDEN","","","2021-11-01","","","0","W/c component-accessory nos","18812.4","509.3","1"
"1962502229","1366790693","NEW YORK","CLINTON","NEW YORK","MARYLAND","10005","20735","40.70616149902344","38.750160217285156","-74.00907135009766","-76.90586853027344","INTEGRA PARTNERS LLC","MEDSTAR SOUTHERN MARYLAND HOSPITAL CENTER INC","","MedStar Southern Maryland Hospital","0","1427200708","","MARINA MOORE","","","2017-09-01","","","0","Electric breast pump","130.1","130.1","1"
"1265587000","1023334927","FARMINGDALE","YONKERS","NEW YORK","NEW YORK","11735","10701","40.731590270996094","40.945411682128906","-73.43270111083984","-73.88038635253906","APEX LABORATORY, INC.","MOUNT SINAI SCHOOL OF MEDICINE OF NEW YORK UNIVERSITY","","The Mount Sinai Hospital","0","1710092234","","DAVID TANG","","","2020-08-01","","","82306","25 Hydroxy Includes Fractions If Performed","175.53","59.2","2"
"1962502229","1245370717","NEW YORK","RICHMOND HILL","NEW YORK","NEW YORK","10005","11418","40.70616149902344","40.700191497802734","-74.00907135009766","-73.83615112304688","INTEGRA PARTNERS LLC","JAMAICA HOSPITAL","","Jamaica Hospital Medical Center","0","1982347092","","ABIGAIL BLOCK","","","2024-04-01","","","0","Lo sag ri an/pos pnl pre ots","198.63","198.63","1"
"1962502229","1184780355","NEW YORK","CHANDLER","NEW YORK","ARIZONA","10005","85224","40.70616149902344","33.32366180419922","-74.00907135009766","-111.8764419555664","INTEGRA PARTNERS LLC","MOMDOC, LLC","","Chandler Regional Medical Center","0","1619251071","","LUBA TERRELL","","","2024-02-01","","","0","Electric breast pump","242.86","242.86","1"
"1649215229","0","LITHIA SPRINGS","","GEORGIA","","30122","","33.762969970703125","0","-84.63819122314453","0","WYATT'S PHARMACY","","","","0","1902259641","","MARCIA EDWARDS","","","2017-11-01","","","0","Electric breast pump","1104.22","597","3"
"1649215229","1437186111","LITHIA SPRINGS","ATHENS","GEORGIA","GEORGIA","30122","30606","33.762969970703125","33.939598083496094","-84.63819122314453","-83.42877960205078","WYATT'S PHARMACY","PIEDMONT ATHENS REGIONAL MEDICAL CENTER, INC.","","Piedmont Athens Regional Medical Center","0","1104982115","","RACHEL MURTHY","","","2017-12-01","","","0","Replcmnt breast pump shield","59.88","9.98","1"
"1912952375","0","SOUTHLAKE","","TEXAS","","76092","","32.95998001098633","0","-97.14859008789062","0","BYRAM HEALTHCARE CENTERS, INC.","","","","0","1609001064","","KATIE HOPKINS","","","2018-01-01","","","0","Electric breast pump","300","300","1"
"1740374529","1043670334","SAN JOSE","BURLINGAME","CALIFORNIA","CALIFORNIA","95126","94010","37.32680892944336","37.56930923461914","-121.91674041748047","-122.36528015136719","MORE PHYSICAL THERAPY, INC.","SUTTER BAY HOSPITALS","","Mills-Peninsula Medical Center","0","1881600328","","DENNIS PARK","","","2020-11-01","","","97035","Appl Modality 1+ Areas Ultrasound Ea 15 Min","217","28","1"
"1245720820","1093705428","DELAND","JACKSON","FLORIDA","TENNESSEE","32724","38301","29.056499481201172","35.58600997924805","-81.22881317138672","-88.85285949707031","DAVITA LABS","JACKSON MADISON COUNTY GENERAL HOSPITAL","","West Tennessee Healthcare Jackson - Madison County General Hospital","0","1841260767","","SHYAMAL SARKAR","","","2021-01-01","","","0","Infec agen detec ampli probe","1551.25","310.25","1"
"1912952375","1174573596","SOUTHLAKE","DALLAS","TEXAS","TEXAS","76092","75243","32.95998001098633","32.912109375","-97.14859008789062","-96.73562622070312","BYRAM HEALTHCARE CENTERS, INC.","TEXAS HEALTH PHYSICIANS GROUP","","","0","1386697704","","KAVITHA BLEWETT","","","2023-03-01","","","0","Electric breast pump","300","300","1"
"1538144910","1295999852","BURLINGTON","FREDERICKSBURG","NORTH CAROLINA","VIRGINIA","27215","22401","36.03179168701172","38.29922866821289","-79.48890686035156","-77.48713684082031","LABORATORY CORPORATION OF AMERICA HOLDINGS","MARY WASHINGTON HEALTHCARE PHYSICIANS","","Mary Washington Hospital","0","1841250354","","CAROL VOSS","","","2024-08-01","","","81003","Urnls Dip Stick/Tablet Rgnt Auto W/O Microscopy","258","37.8","1"
"1538144910","1659639524","BURLINGTON","NEW YORK","NORTH CAROLINA","NEW YORK","27215","10029","36.03179168701172","40.79172897338867","-79.48890686035156","-73.94396209716797","LABORATORY CORPORATION OF AMERICA HOLDINGS","ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI","","The Mount Sinai Hospital","0","1386205250","","MING YU","","","2024-10-01","","","81241","F5 Coagulation Factor V Anal Leiden Variant","2749","346.5","1"
"1245720820","1174791883","DELAND","HEMET","FLORIDA","CALIFORNIA","32724","92545","29.056499481201172","33.729671478271484","-81.22881317138672","-117.0342025756836","DAVITA LABS","DAVITA RIVERSIDE LLC","","Ascension Saint Thomas Hospital West","0","1568966653","","ARABHI NAGASUNDER","","","2024-08-01","","","82728","Assay Of Ferritin","1575","277.63","1"
"0","0","","","","","","","0","0","0","0","","","","","0","1386694867","","FLORENCIO SINGSON","","","2020-07-01","","","73600","Radiologic Examination Ankle 2 Views","224.73","25.5","1"
"1063452829","1538595368","LAS VEGAS","HENDERSON","NEVADA","NEVADA","89119","89014","36.08475875854492","36.06172180175781","-115.1461410522461","-115.05811309814453","PREFERRED HOMECARE","MOUNTAIN VISTA PEDIATRICS, INC.","","Harmon Medical and Rehabilitation Hospital","0","1699723908","","EDMUND FARO","","","2018-06-01","","","0","Phototherapy light w/ photom","1050","1050","1"
"1962502229","1245526987","NEW YORK","JAMAICA","NEW YORK","NEW YORK","10005","11432","40.70616149902344","40.715328216552734","-74.00907135009766","-73.79306030273438","INTEGRA PARTNERS LLC","NEW LIFE MEDICAL SERVICES PC","","NYC Health + Hospitals Queens","0","1508065277","","RABEYA CHOWDHURY","","","2021-12-01","","","0","Electric breast pump","1330","1330","9"
"1962502229","1790740777","NEW YORK","WINCHESTER","NEW YORK","MASSACHUSETTS","10005","01890","40.70616149902344","42.45180130004883","-74.00907135009766","-71.14630126953125","INTEGRA PARTNERS LLC","WINCHESTER HOSPITAL","","Winchester Hospital","0","1972238715","","AMANDA PEDICINI","","","2024-10-01","","","0","Disp coll&stor bag for brst mk any sz any typ ea","275","72","1"
"1750562427","0","AUSTIN","","TEXAS","","78750","","30.41827964782715","0","-97.80245971679688","0","HEB PHARMACY","","","","0","1750562427","","HEB PHARMACY","","","2017-10-01","","","0","Admin influenza virus vac","130","37.38","2"
"1265587000","1235104878","FARMINGDALE","BROOKLYN","NEW YORK","NEW YORK","11735","11215","40.731590270996094","40.662601470947266","-73.43270111083984","-73.98677825927734","APEX LABORATORY, INC.","AMERICAN ACCESS CARE PHYSICIAN PLLC","","NewYork-Presbyterian Brooklyn Methodist Hospital","0","1952372963","","PETER PATETSIOS","","","2020-08-01","","","80048","Basic Metabolic Panel Calcium Total","29.75","8.46","1"
"1538144910","1770854473","BURLINGTON","COLUMBUS","NORTH CAROLINA","OHIO","27215","43222","36.03179168701172","39.96118927001953","-79.48890686035156","-83.03526306152344","LABORATORY CORPORATION OF AMERICA HOLDINGS","LOWER LIGHTS CHRISTIAN HEALTH CENTER INC.","","Twin Valley Behavioral Healthcare Hospital (Columbus)","0","1558724559","","EVAN TAMURA","","","2024-03-01","","","36415","Collection Venous Blood Venipuncture","1440","27.81","1"
"0","0","","","","","","","0","0","0","0","","","","","0","1497279194","","MOTI PHYSIOTHERAPY, INC.","","","2020-10-01","","","97161","Physical Therapy Evaluation Low Complex 20 Mins","345","125","1"
"1609882869","1184647851","NARANJITO","COROZAL","PUERTO RICO","PUERTO RICO","00719","00783","18.288799285888672","18.304100036621094","-66.25335693359375","-66.3284683227539","LABORATORIO CLINICO CENTRAL DE LA MONTANA","SALUD INTEGRAL EN LA MONTANA, INC","","","0","1396887196","","CESAR VIANA","","","2023-10-01","","","82247","Bilirubin Total","41.4","27.6","1"
"1649215229","1093716979","LITHIA SPRINGS","DECATUR","GEORGIA","GEORGIA","30122","30033","33.762969970703125","33.81230926513672","-84.63819122314453","-84.28365325927734","WYATT'S PHARMACY","DEKALB MEDICAL CENTER, INC.","","Emory Decatur Hospital","0","1285732495","","JAMES DOPSON","","","2018-12-01","","","0","Electric breast pump","199","199","1"
"0","1215939210","","MONROE","","LOUISIANA","","71202","0","32.39590072631836","0","-92.0562515258789","","BRFHH MONROE LLC","","Ochsner LSU Health - Monroe Medical Center","0","1598349409","","KRISTINA GAMBINO","","","2024-01-01","","","76801","Us Pregnant Uterus 14 Wk Transabdl 1/1St Gestat","317","317","1"
"1538144910","1457571754","BURLINGTON","CHESTER","NORTH CAROLINA","VIRGINIA","27215","23836","36.03179168701172","37.34423065185547","-79.48890686035156","-77.34477233886719","LABORATORY CORPORATION OF AMERICA HOLDINGS","PEDIATRIC ASSOC OF PETERSBURG","","TriCities Hospital","0","1316944531","","JOSEPH BOATWRIGHT","","","2024-03-01","","","87081","Cul Prsmptv Pthgnc Organism Scrn W/Colony Estimj","51","51.45","1"
"1467486233","1093779704","SATSUMA","TEMPLE","ALABAMA","TEXAS","36572","76508","30.85841941833496","31.07745933532715","-88.06047821044922","-97.3641128540039","C & M VITAL CARE","SCOTT & WHITE CLINIC","","Baylor Scott & White Medical Center - Temple","0","1639707425","","CATHERINE MCCULLERS","","","2023-08-01","","","0","Enter nutr inf pump any type","30605","27600","1"
"1912952375","1023312055","SOUTHLAKE","HOUSTON","TEXAS","TEXAS","76092","77030","32.95998001098633","29.706289291381836","-97.14859008789062","-95.40260314941406","BYRAM HEALTHCARE CENTERS, INC.","AURORA GONZALEZ MD PA","","Texas Children's Hospital","0","1528326550","","LINDSEY GOLDEN","","","2023-01-01","","","0","Electric breast pump","192.5","192.5","1"
"1962502229","1700037975","NEW YORK","STATEN ISLAND","NEW YORK","NEW YORK","10005","10310","40.70616149902344","40.63235092163086","-74.00907135009766","-74.11617279052734","INTEGRA PARTNERS LLC","AMBOY MEDICAL PRACTICE PC","","Richmond University Medical Center","0","1053421412","","ANGELA KERR","","","2021-12-01","","","0","Electric breast pump","145","145","1"
"1962502229","1417027558","NEW YORK","BRONX","NEW YORK","NEW YORK","10005","10457","40.70616149902344","40.847129821777344","-74.00907135009766","-73.89871215820312","INTEGRA PARTNERS LLC","BRONXCARE HEALTH SYSTEM","","BronxCare Dr. Martin Luther King, Jr. Health Center","0","1215026927","","ABBE KIRSCH","","","2022-06-01","","","0","Electric breast pump","6557.42","6532.14","37"
"1912952375","0","SOUTHLAKE","","TEXAS","","76092","","32.95998001098633","0","-97.14859008789062","0","BYRAM HEALTHCARE CENTERS, INC.","","","","0","1033635776","","AMBER BERRY","","","2023-03-01","","","0","Electric breast pump","300","300","1"
"1265587000","1962693119","FARMINGDALE","FRANKLIN SQUARE","NEW YORK","NEW YORK","11735","11010","40.731590270996094","40.700599670410156","-73.43270111083984","-73.67500305175781","APEX LABORATORY, INC.","SCOTT JAY RATNER, MD, PC","","North Shore University Hospital","0","1932143997","","SCOTT RATNER","","","2020-07-01","","","80048","Basic Metabolic Panel Calcium Total","31.92","8.46","1"
"0","1841394418","","TUSCALOOSA","","ALABAMA","","35401","0","33.16878128051758","0","-87.61357116699219","","THE DCH HEALTHCARE AUTHORITY","","DCH Regional Medical Center","0","1114992583","","STEPHEN ALLEN","","","2020-07-01","","","944","Anesthesia Vaginal Hysterectomy Incl Biopsy","1105","1105","1"
